Sample,X,Y,Z
731,0.0125,0.0242,0.9700
732,-0.0015,0.0256,0.9709
733,0.0088,0.0173,0.9768
734,0.0134,0.0005,0.9836
735,0.0056,-0.0085,0.9917
736,0.0088,0.0042,0.9895
737,0.0066,0.0054,0.9788
738,0.0125,0.0117,0.9702
739,0.0034,0.0105,0.9788
740,0.0115,0.0083,0.9836
741,0.0151,-0.0010,0.9846
742,0.0115,-0.0024,1.0005
743,0.0120,0.0095,0.9915
744,-0.0029,0.0149,0.9739
745,0.0010,0.0234,0.9663
746,-0.0056,0.0166,0.9712
747,-0.0015,-0.0029,0.9895
748,0.0112,-0.0068,0.9934
749,0.0332,0.0151,0.9973
750,0.0073,0.0046,0.9888
751,-0.0073,0.0042,0.9807
752,-0.0051,0.0205,0.9692
753,-0.0049,0.0125,0.9661
754,0.0037,0.0049,0.9956
755,0.0015,-0.0103,1.0002
756,0.0034,0.0034,0.9817
757,0.0232,0.0295,0.9719
758,0.0085,0.0090,0.9829
759,-0.0078,0.0049,0.9751
760,0.0142,0.0120,0.9749
761,0.0059,0.0112,0.9817
762,-0.0024,-0.0034,1.0015
763,-0.0039,0.0039,0.9885
764,0.0188,0.0242,0.9722
765,0.0090,0.0168,0.9768
766,-0.0076,0.0042,0.9846
767,0.0134,0.0103,0.9712
768,0.0227,0.0166,0.9810
769,0.0017,-0.0037,0.9924
770,0.0066,0.0029,0.9878
771,0.0166,0.0181,0.9788
772,0.0012,0.0122,0.9771
773,-0.0071,0.0115,0.9771
774,0.0120,0.0144,0.9810
775,0.0212,0.0149,0.9839
776,0.0046,-0.0029,0.9966
777,0.0203,0.0032,0.9866
778,0.0171,0.0112,0.9817
779,0.0024,0.0171,0.9800
780,-0.0037,0.0095,0.9651
781,0.0024,0.0037,0.9751
782,0.0161,0.0139,0.9888
783,0.0144,0.0105,0.9956
784,0.0208,0.0063,0.9846
785,0.0115,0.0115,0.9758
786,0.0093,0.0193,0.9702
