Sample,X,Y,Z
746,0.0293,0.0127,1.0393
747,-0.0703,0.0142,1.0491
748,0.0107,0.0388,0.9182
749,0.0881,-0.0046,0.9321
750,-0.0259,-0.0015,1.0942
751,-0.0312,0.0327,1.0032
752,0.0457,0.0171,0.8948
753,0.0017,0.0154,0.9741
754,-0.0066,0.0264,1.0393
755,-0.0020,0.0229,0.9797
756,0.0159,-0.0068,0.9370
757,0.0454,0.0366,1.0054
758,-0.0161,0.0166,1.0325
759,0.0120,0.0183,0.9517
760,0.0588,0.0100,0.9253
761,-0.0388,0.0037,1.0393
762,-0.0107,0.0427,1.0032
763,0.0400,-0.0083,0.9351
764,0.0073,-0.0017,0.9810
765,-0.0369,0.0208,1.0403
766,0.0278,0.0347,0.9709
767,-0.0032,0.0029,0.9407
768,0.0193,0.0049,0.9963
769,0.0217,0.0220,1.0103
770,0.0127,-0.0115,0.9504
771,0.0056,0.0049,0.9897
772,0.0083,0.0229,0.9888
773,0.0312,-0.0107,0.9712
774,0.0076,0.0042,0.9973
775,-0.0288,0.0129,0.9810
776,0.0176,0.0083,0.9634
777,0.0254,-0.0171,0.9985
778,-0.0112,0.0229,1.0061
779,0.0000,0.0171,0.9526
780,0.0066,-0.0193,0.9602
781,0.0393,0.0334,1.0110
782,-0.0142,-0.0002,0.9924
783,0.0420,-0.0171,0.9543
